volume	uid	cycle	title	version	incipit	link	link_uid	terminus_post_quem	terminus_ante_quem	dated	autographs	lifetime_publication	first_publication	bibliography	citation	comments	filename	n_lines	n_words
1	A78		«…Вновь я посетил…»		«…Вновь я посетил…»			1835	1835	26 сентября 1835 г., согласно помете в автографе ПД 986.	В тетр. ПД 846, л. 30 об.— 31 об, 39–40 (черновой); ПД 210, л. 1 (черновой отрывок); ПД 986 (беловой, с поправками).	нет	Совр. 1837. Т. 5.	Гордин А. М. «Вновь я посетил тот уголок земли…»: (Пушкин в Михайловском в 1835 г.) // На берегах Великой: Псковский лит. альманах. Псков, 1949. Кн. 2. С. 160–180; Гофман М. Л. Посмертные стихотворения Пушкина // ПиС. Вып. 33–35. С. 392–400; Измайлов Н. В. Лирические циклы в поэзии Пушкина 1830-х годов // ПИМ. Т. 2. С. 40–41, 43; Левкович Я. Л. «Вновь я посетил…» // Стих. П. 1820–1830 гг. С. 306–322; Москвичева Г. В. Элегия А. С. Пушкина и жанровая традиция // Болдинские чтения. [1984]. Горький, 1985. С. 91–93; Никифоров В. А. «…Вновь я посетил» // Врем. ПК 21. С. 96–98; Скатов Н. Н. Два стихотворения Пушкина «Деревня» и «Вновь я посетил» // Русская речь. 1975. № 4. С. 33–37; Соловей Н. Я. Сравнивая рукописи: Из истории создания стихотворения А. С. Пушкина «…Вновь я посетил» // Там же. 1978. № 3. С. 20–29; Степанов. Лирика П. С. 399–413; Сурат И. З. Сказка П. А. Катенина «Княжна Милуша»: (К проблеме «Катенин и Пушкин») // Науч. докл. высшей школы. Филолог. науки. 1985. № 1. С. 70; Тойбин И. М. Тревожное слово: (О поэзии Е. А. Баратынского). Воронеж, 1988. С. 56–57, 114–115; Чичерин А. В. Образ времени в лирике Пушкина // Чичерин А. В. Ритм образа. М., 1973. С. 230–231.	Акад. Т. 3, кн. 1. С. 399–400.		A78.txt	58	290
1	A79		«Во глубине сибирских руд…»		«Во глубине сибирских руд…»			1827	1827	1827 г., предположительно временем между 2 января (дата отъезда из Москвы А. Г. Муравьевой, через которую Пушкин мог бы передать декабристам послание, если бы оно было готово) и 19 мая (день, когда Пушкин покинул дом С. А. Соболевского).	Неизвестен.	нет	ПЗ 1856. Кн. 2.	Азадовский М. К. «Во глубине сибирских руд»: Новые материалы // Статьи о литературе и фольклоре. М.; Л., 1960. С. 438–454; Алексеев М. П. К тексту стихотворения «Во глубине сибирских руд» // Врем. ПК 1969. С. 20–42; Альтшуллер М. Г., Мартынов И. И. «Звучащий стих свободы ради…»: Очерки о читателях декабристской поры. М., 1976. С. 56–70; Бартенев П. И. Примеч. к «Прибавлениям к моим запискам» Н. И. Лорера // РА. 1874. № 9. Стб. 703; Благой, II. С. 138–147; Бялик Б. А. Да были ли горы-то? // ВЛ. 1985. № 7. С. 114–141; Васильева А. Н. А. С. Пушкин «Послание в Сибирь». «Я вас любил» // Васильева А. Н. Стилистические разработки по русской классике: Материалы в помощь преподавателям русского языка и русской литературы как иностранных. М., 1975. Ч. 1. С. 30–45; Венг. Т. 4. С. XXIII (примеч. Н. О. Лернера); Гаевский В. П. Празднование лицейских годовщин в пушкинское время: По поводу 50-летнего юбилея Лицея // ОЗ. 1861. № 11. С. 34; Гайдук В. К. Жанр послания в лирике А. С. Пушкина: «Во глубине сибирских руд» // Актуальные вопросы теории литературы в школьном изучении. Иркутск, 1985. С. 89; Гербель Н. В. Для будущего полного собрания сочинений А. С. Пушкина: Стихотворения Пушкина, не вошедшие в последнее издание его сочинений и примечания к ним // РА. 1876. № 10. С. 220–221; Гиршман М. М. О ритмической композиции стихотворений А. С. Пушкина, написанных четырехстопным ямбом // Изв. АН СССР. Сер. лит. и яз. 1988. Т. 47, № 3. С. 267; Зильберштейн И. С. Рассказ Николая Бестужева «Похороны» // ЛН. М., 1956. Т. 60, кн. 1. С. 173; Курьянов С. О. Стихотворение А. С. Пушкина «Во глубине сибирских руд…»: Опыт прочтения // Крымский пушкинский научный сб. Симферополь, 2001. Вып. 1 (10) Русская культура и античность. С. 11–22; Ларионова Н. Г. К изучению поэзии А. И. Одоевского: По архивным материалам // Вестник МГУ. Филология. 1976. № 6. С. 24–25; Макогоненко Г. П. Обратимся к пушкинскому поэтическому тексту // ВЛ. 1985. № 7. С. 160–175; Малышкина Л. М. Рукописный сборник стихотворений Пушкина // Болдинские чтения. [1975]. Горький, 1976. С. 165–170; Маркович В. М. Чудесное в интимной и политической лирике Пушкина: К проблеме Пушкин и русский утопизм // Маркович В. М. Пушкин и Лермонтов в истории русской литературы: Статьи разных лет. СПб., 1997. С. 66–79; Мейлах Б. С. 1) Пушкин и его эпоха. М., 1958. С. 374–381; 2) Художественное мышление Пушкина как творческий процесс. М.; Л., 1962. С. 161–163; Михайлова Н. И. «Витийства грозный дар…»: А. С. Пушкин и русская ораторская культура его времени. М., 1999. С. 144–160; Мороховский А. Н. «Послание в Сибирь» А. Пушкина — два противоположных прочтения // Язык и культура: Вторая международная конференция Доклады. Киев, 1993. С. 169–174; Невелев Г. А. «Истина сильней царя…»: А. С. Пушкин в работе над историей декабристов. М., 1985. С. 49–51; Непомнящий В. С. 1) Судьба одного стихотворения // ВЛ. 1984. № 6. С. 144–181; 2) Опираться на достигнутое наукой // ВЛ. 1985. № 7. С. 142–159; 3) Поэзия и судьба. М., 1987; 4) «Будет возвращение к Пушкину» // Литература в школе. 1991. № 4. С. 7–9; Нечкина М. В. «Во глубине сибирских руд» // Нечкина М. В. Функция художественного образа в историческом процессе. М., 1982. С. 64–69; Парсамов В. С. «И братья меч вам отдадут» // Тез. докл. конф. по гуманитарным и естественным наукам. Тарту, 1986. С. 10–12; Пущин. С. 70–72; Рогова А. И. Стихотворение А. С. Пушкина «Во глубине сибирских руд…»: (Текстологические проблемы) // РЛ. 1991. № 4. С. 99–114; Розанов И. Н. Пушкин — певец свободы // А. С. Пушкин: Материалы юбилейных торжеств 1799–1949. М.; Л., 1951. С. 112; Слонимский. С. 52–55; Тимофеев Л. И. Пушкин — реформатор русского стиха // А. С. Пушкин: Материалы юбилейных торжеств 1799–1949. М.; Л., 1951. С. 218; Томашевский. Пушкин, II. С. 504–505; Тудоровская Е. А. Поэтика лирических стихотворений Пушкина. СПб., 1996. С. 58–63; Филин М. Д. Две перчатки в гробу: «Масонский след» в судьбе Пушкина // Московский пушкинист. II. М., 1996. С. 244–251; Фомичев С. А. О стихотворении Пушкина «Во глубине сибирских руд…» // РЛ. 1989. № 2. С. 183–186; Цявловский М. А. Из Пушкинианы П. И. Бартенева // Лет. ГЛМ. С. 539–540; Эйдельман Н. Я. 1) Тайные корреспонденты «Полярной звезды». М., 1966. С. 25–28; 2) Пушкин: История и современность в художественном сознании поэта. М., 1984. С. 109–119.	Акад. Т. 3, кн. 1. С. 49.		A79.txt	16	65
1	A80		«< > во дни Дадона…»		«< > во дни Дадона…»			1821	1821	Июнем (после 5-го) — июлем (до 18-го) 1821 г. по положению в тетради.	В тетр. ПД 831, л. 43 (черновой).	нет	Якушкин. № 4.		АПСС. Т. 2, кн. 2. С. 147.		A80.txt	3	11
1	A81		Вода и вино		«Люблю я в полдень воспаленный…»			1814	1815	Ноябрем 1814 — мартом 1815 г. на основании подписи «1… 17–14» при первой публикации в «Российском музеуме» и по времени выхода этой публикации в свет.	Неизвестен.	да	РМ. 1815. Ч. 2, № 6 (с подписью «1… 17–14»).	АПСС. Т. 1. С. 630–631 (примеч.).	АПСС. Т. 1. С. 98.		A81.txt	16	73
1	A82		«Воды глубокие…»		«Воды глубокие…»			1833	1836	Предположительно 1833–1836 гг.	ПД 247 (беловой).	нет	КН. Т. 2.	Белоусов А. Ф. Источник «Вод глубоких…» // Время и текст: Ист.-лит. сб. СПб., 2002. С. 118–120; Кулагин А. В. Об источнике пушкинского стихотворения «Воды глубокие…» // ПиС (Нов. серия). Вып. 1 (40). С. 177–182; Рукоп. П. 1937. С. 95.	Акад. Т. 3, кн. 1. С. 471.		A82.txt	4	8
1	A83		Воевода		«Поздно ночью из похода…»			1833	1833	28 октября 1833 г. по дате в беловом автографе.	В тетр. ПД 842, л. 153 об. — 152 об. (черновой); ПД 192 (беловой, с поправками).	да	БдЧ. 1834. Т. 2.	Вацуро В. Э. Мицкевич и русская литературная среда 1820-х гг. // Литературные связи славянских народов: Исследования. Публикации. Библиография. Л., 1988. С. 37–42; Кулаковский П. Славянские мотивы в творчестве Пушкина. Варшава, 1899. С. 18–19; Левкович Я. Л. Переводы Пушкина из Мицкевича // ПИМ. Т. 7. С. 157–163; Новикова М. А. Испытание: («Дозор» А. Мицкевича и «Воевода» А. Пушкина) // ВЛ. 1983. № 10. С. 145–168; Хорев В. А. Баллады Мицкевича в переводе Пушкина // Литература славянских народов. М., 1956. Вып. 1 Адам Мицкевич. С. 83–92; Grosbart Z. Zagadnienie adekwatnosci w Puszkinowskich przekladach Mickiewicza // Zeszyty naukowe Uniw. Lodzkiego. Ser. 1 Nauki humanistyczno spoleczne. 1965. Zesz. 41. S. 79–107; TretiakJ. Mickiewicz i Puszkin. Warszawa, 1906. S. 266.	Акад. Т. 3, кн. 1. С. 313–315.		A83.txt	66	274
1	A550.5	A550	Воевода Милош		«Над Сербией смилуйся ты, боже!..»	Песни западных славян	A550	1833	1834			да			Акад. Т. 3, кн. 1. С. 355–356.		A550.5.txt	21	96
1	A84		Возрождение		«Художник-варвар кистью сонной…»			1819	1819	1819 г., на основании авторского указания в Ст 1829.	Неизвестен.	да	Невский альманах на 1828 г., издаваемый Е. Аладьиным. СПб., [1827]. Кн. 4.	Варшавская М. Я. Стихотворение Пушкина и картина Рафаэля. Л., 1949; Васильев Б. А. О новой датировке стихотворения Пушкина «Возрождение» // Страницы истории русской литературы. М., 1971. С. 92–98; Гришунин А. Л. Проблемы датировки произведений Пушкина // Московский пушкинист. III. М., 1996. С. 276–278; Шульц Р. Пушкин и Казот = Pouchkine et Cazotte. Washington, 1987. C. 81–83.	АПСС. Т. 2, кн. 1. С. 68.		A84.txt	12	45
1	A85		Война		«Война!.. Подъяты наконец…»			1821	1821	29 ноября 1821 г., согласно пушкинской помете в ПД 40.	ПД 40 (беловой, с поправками); в тетр. ПД 833, л. 12–12 об. (беловой, с поправками).	да	ПЗ 1823.	АН 1900–29. Т. 3. Примеч. С. 152; Виноградов. Стиль П. С. 330; Гаспаров М. Л. Три типа русской романтической элегии: (Индивидуальный стиль в жанровом стиле) // Контекст. 1988. М., 1989. С. 53; Селинов В. И. Пушкин и греческое восстание: (Опыт исторического комментария к филэллинистическим пьесам Пушкина) // Пушкин: Статьи и материалы. Одесса, 1926. Вып. 2. С. 5–14; Томашевский. Пушкин, I. С. 533–537.	АПСС. Т. 2, кн. 2. С. 59.		A85.txt	32	173
1	A86		«Волненьем жизни утомленный…»		«Волненьем жизни утомленный…»			1828	1828	Концом (около 25-го) июня 1828 г.; год устанавливается по положению автографа в рабочей тетради Пушкина, числа и месяц — по помете, расположенной рядом со стихотворением (см. текст статьи).	В тетр. ПД 838, л. 17 об. (черновой).	нет	Якушкин. № 7.	Госл. в 10 т. Т. 2. С. 622 (коммент. Т. Г. Цявловской); Старк В. П. Стихотворение А. С. Пушкина «Волненьем жизни утомленный…» // Приютинский сб.: Исследования и материалы. СПб., 2001. Вып. 2. С. 56–65; Acad. в 6 т. Т. 1. С. 760 (коммент. М. А. Цявловского).	Акад. Т. 3, кн. 1. С. 463.		A86.txt	4	16
1	A87		Вольность	Ранняя редакция стихотворения «Свобода»	«Беги, сокройся от очей…»			1817	1817	Предположительно ноябрем — декабрем 1817 г. на основании историко-бытового и биографического контекста стихотворения.	ПД 24 (беловой, первой редакции, под заглавием «Вольность. Ода»); ПД 33 (ст. 75–96; беловой, поздней редакции); РГАЛИ, ф. 195, оп. 1, № 5549, л. 4–4 об. (ст. 1–40; поздней редакции, под заглавием «Свобода»; копия рукой неустановленного лица, с поправкой Пушкина); ПД 875 (ст. 41–96; поздней редакции, копия рукой неустановленного лица, с поправками Пушкина).	нет	ПЗ 1856.	Базанов В. Г. Из истории гражданской поэзии начала XIX в. К вопросу об идейной концепции пушкинской оды «Вольность» // РЛ. 1961. № 1. С. 39–62; Бикерман И. И. Пушкинские заметки. 2. К датировке оды «Вольность» // ПиС. Вып. 19–20. С. 55–62; Благой Д. Д. Пушкин в 1817 г. // Изв. АН СССР. Отд. обществ. наук. М.; Л., 1937. № 2–3. С. 607–642; Бонди С. М. Подлинный текст и политическое содержание «Воображаемого разговора с Александром I» // Бонди С. М. Черновики Пушкина: Статьи 1930–1970 гг. М., 1971. С. 109–140; Буш В. В. Несколько слов об оде «Вольность» в последних изданиях Пушкина // ПиС. Вып. 16. С. 14–18; Вальденберг В. Е. 1) Природа и Закон в политических воззрениях Пушкина // Slavia. 1925. Roc. 4. Ses. 1. S. 63–81; 2) «Вольность», ода Пушкина и «Вольность» Радищева // Ibid. 1939. Roc. 16. Ses. 2–3. S. 269–276; Вацуро В. Э. Пушкин и Аркадий Родзянко: (Из истории гражданской поэзии 1820-х годов) // Врем. ПК 1969. С. 49–51; Гришунин А. Л. Проблема датировки произведений Пушкина // Московский пушкинист. III. М., 1996. С. 271–275; Михайлова Н. И. «Витийства грозный дар…»: А. С. Пушкин и русская ораторская культура его времени. М., 1999. С. 74–84; Нольман М. Л. «След возвышенного Галла» (Пушкин и Андре Шенье) // XIII Герценовские чтения. Филологические науки. Л., 1970. С. 44–46; Оксман Ю. Г. Пушкинская ода «Вольность»: (К вопросу о датировке) // Проблемы истории культуры, литературы, социально-экономической мысли. Саратов, 1989. Вып. 5. Ч. 2. С. 3–33; Пугачев В. В. Предыстория Союза благоденствия и пушкинская ода «Вольность» // ПИМ. Т. 4. 94–139; Ранние пушкинские штудии Анны Ахматовой (По материалам архива П. Лукницкого) // ВЛ. 1978. № 1. С. 188, 194–195, 207 (примеч. В. Непомнящего и С. Великовского), 221, 224 (послесл. В. Непомнящего); Рогова А. И. Списки вольнолюбивой лирики А. С. Пушкина в аспекте литературоведческого и социологического анализа // Философская и духовная жизнь общества: Тезисы докладов и сообщений научной конференции молодых ученых. Ленинград, 27–28 июня 1989 г. Л., 1989. С. 52–54; Свербеев Д. Н. Записки (1799–1826). М., 1899. Т. 1. С. 247–248; Слонимский А. Л. О каком «возвышенном галле» говорится в оде Пушкина «Вольность»? // ПИМ. Т. 4. С. 327–335; Сурат И. З. Библейский подтекст в оде «Вольность» // ПиС (Нов. серия). Вып. 2 (41). С. 202–203; Телетова Н. К. Андре Шенье и Александр Пушкин // РЛ. 1996. № 1. С. 6–8; Томашевский Б. В. 1) Пушкин и французская революционная ода: (Экушар Лебрен) // Изв. ОЛЯ. 1940. № 2. С. 25–55; Томашевский. Пушкин, I. С. 142–172; Томашевский. П. и Франция. С. 315–359; Цявловский М. А. Хронология оды «Вольность» // Цявловский. Статьи. С. 66–81; Чистова И. С. Пушкин в салоне Авдотьи Голицыной // ПИМ. Т. 13. С. 186–202; Эткинд Е. «Союз ума и фурий» // Россия / Russia. 1987. № 5. С. 57–63.	АПСС. Т. 2, кн. 1. С. 12–14.		A87.txt	88	352
1	A88		«Ворон к ворону летит…»		«Ворон к ворону летит…»			1828	1828	Предположительно сентябрем — первой половиной октября 1828 г.	В тетр. ПД 838, л. 108 об. (черновой).	да	СЦ на 1829 г.	Владимирский Г. Д. Пушкин-переводчик // П. Врем. Вып. 4–5. С. 317–318; Лобанова А. С. «Ворон к ворону летит»: Русский источник «Шотландской песни» Пушкина // Врем. ПК 26. С. 111–120; Оксман Ю. Г. Сюжеты Пушкина: (Шотландская песня) // Пушкинский сб. памяти профессора С. А. Венгерова. М.; Пг., 1923. С. 27–30; Сумцов Н. Ф. Исследования // Харьковский университетский сб. в память А. С. Пушкина. Харьков, 1900. С. 259–261; Чистова И. С. О двух стихотворных переводах А. Дюма из Пушкина // Врем. ПК 20. С. 181–182.	Акад. Т. 3, кн. 1. С. 123.		A88.txt	16	64
1	A89		Воспоминание (К Пущину)		«Помнишь ли, мой брат по чаше…»			1814	1815	Предположительно 1815 г., так как стихотворение является откликом на историю, случившуюся 5 сентября 1814 г., и, вероятнее всего, было написано не ранее, чем закончились последовавшие за ней санкции в отношении ее участников, продолжавшиеся до ноября — декабря 1814 г.	Неизвестен.	нет	Посм. Т. 9.	АПСС. Т. 1. С. 663–665 (примеч.).	АПСС. Т. 1. С. 149.		A89.txt	32	119
1	A90		Воспоминание		«Когда для смертного умолкнет шумный день…»			1828	1828	19 мая 1828 г., согласно помете в автографе.	В тетр. ПД 838, л. 14 об. — 15 об. (черновой).	да	СЦ на 1829 г.	Благой Д. Д. Трагедия и ее разрешение // Благой Д. Д. Литература и действительность. М., 1959. С. 324–326; Вересаев В. В. В двух планах. М., 1929. С. 123–129; Виноградов. Стиль П. С. 257, 346; Гачев Г. Д. Образ в русской художественной культуре. М., 1981. С. 94–99; Гершензон М. О. Мудрость Пушкина. М., 1919. С. 74–75; Грехнев В. А. О лирических финалах Пушкина // Болдинские чтения. [1985]. Горький, 1986. С. 81–83, 86–87, 92; Иванов Вяч. Вс. Два демона (беса) и два ангела у Пушкина // Пушкинская конференция в Стэнфорде 1999: Материалы и исследования. М., 2001. С. 46–49; Краснов Г. В. Пушкин Болдинские страницы. Горький, 1984. С. 98–117; Левкович Я. Л. «Воспоминание» // Стих. П. 1820–1830 гг. С. 107–120; Маймин Е. А. Русская философская поэзия: Поэты-любомудры, А. С. Пушкин, Ф. И. Тютчев. М., 1976. С. 109–113; Мальчукова Т. Г. 1) Память поэзии: (О сравнительно-типологическом изучении классической лирики). Петрозаводск, 1985. С. 65–95; 2) Стихотворения А. С. Пушкина «Воспоминание» и «Пророк» в контексте христианской культуры // Духовный труженик А. С. Пушкин в контексте русской культуры. СПб., 1999. С. 303–315; Пахарева К. М, Пахарева Т. А. Стихотворение Пушкина «Воспоминание» в русской философской критике конца XIX — начала XX в. Киев, 1995. С. 113–116; Плетнев Р. В. О лирике Пушкина. Монреаль, 1963. С. 131–135; Подольская И. Биография или метафора? // Литературная учеба. 1979. № 6. С. 186–190; Проскурин О. А. Три элегии // Проскурин О. А. Поэзия Пушкина, или Подвижный палимпсест. М., 1999. С. 203–218; Седакова Т. В. Личность Пушкина в лирике // Проблемы современного пушкиноведения. Вологда, 1989. С. 23–25; Сендерович С. А. Алетейа: Элегия Пушкина «Воспоминание» и проблемы его поэтики. Wien, 1982; Степанов. Лирика П. С. 364–374; Сумцов Н. Ф. Этюды об А. С. Пушкине. Варшава, 1896. Вып. 4. С. 22–27; Сурат И. З. Библейское и личное в текстах Пушкина // Коран и Библия в творчестве Пушкина Памяти Е. Г. Эткинда. Jerusalem, 2000. С. 109–120; Толстой Л. Н. О стихотворении Пушкина «Воспоминание»: (Из предисловия Толстого к «Воспоминаниям», в начале 1903 г.) // Русские писатели XIX в. о Пушкине. Л., 1938. С. 383–384; Фаустов А. А. Авторское поведение Пушкина: Очерки. Воронеж, 2000. С. 73–75, 287–288; Цявловская Т. Г. Рисунки Пушкина. М., 1980. С. 54; Чичерин А. О стиле пушкинской лирики // В мире Пушкина. М., 1974. С. 309–313; Щерба Л. В. Опыты лингвистического толкования стихотворений. I «Воспоминание» Пушкина // Щерба Л. В. Избранные работы по русскому языку. М., 1957. С. 26–44; Liapunov V. Mnemosyne and Lethe Puskin's «Vospominanie» // Alexander Puskin A Symposium on the 175-th Anniversary of His Birth. New York, 1976. P. 27–41.	Акад. Т. 3, кн. 1. С. 102.		A90.txt	16	81
1	A91		Воспоминания в Царском Селе		«Воспоминаньями смущенный…»			1829	1829	14 декабря 1829 г., согласно помете в автографе ПД 841.	В тетр. ПД 838, л. 18 об. (две строфы первой редакции; черновой); в тетр. ПД 841, л. 56–57 об. (черновой и перебеленный).	нет	МВед. 1854. № 117 (в статье П. И. Бартенева А. С. Пушкин. Материалы для его биографии).	Аверин Б. В. Воспоминание как сюжет Библия — Пушкин — XX век. Jerusalem, 2000. С. 143–148; Савченко Т. Т. Два «Воспоминания в Царском Селе» // Болдинские чтения [1986]. Горький, 1987. С. 51–60; Тойбин И. М. Пушкин. Творчество 1830-х гг. и вопросы историзма. Воронеж, 1976. С. 91, 92, 101–102.	Акад. Т. 3, кн. 1. С. 189.		A91.txt	58	269
1	A92		Воспоминания в Царском Селе	Ранняя редакция стихотворения «Воспоминания в Царском Селе»	«Навис покров угрюмой нощи…»			1814	1814	Лицейская редакция — октябрем — декабрем 1814 г., по времени подготовки к экзамену 1815 г., поздняя редакция — серединой марта — апрелем 1825 г., по времени работы в тетради Всеволожского.	ПД 5 (беловой, поднесенный Пушкиным Державину); ПД 4 (копия рукой Ф. Ф. Матюшкина (?), с поправками Пушкина); фотокопия (местонахождение оригинала неизвестно) ПД, ф. 244, оп. 1. Прилож. № 1 (ст. 1–19 первой редакции; беловой, с поправками).	да	РМ. 1815. Ч. 2, № 4.	Аксаков С. Т. Собр. соч. В 4 т. М., 1955. Т. 2. С. 318; АПСС. Т. 1. С. 611–617 (примеч.); Благой, I. С. 98–109; Вацуро В. Э. Лицейское творчество Пушкина // АПСС. Т. 1. С. 432–435; Виноградов. Стиль П. С. 123–130; Гаевский. П. в Лицее. № 8. С. 368–370; Глинка Ф. Н. Воспоминания о пиитической жизни Пушкина (1837) // Глинка Ф. Н. Избр. произведения. Л., 1957. С. 425; Гуковский Г. А. Пушкин и русские романтики. М., 1965. С. 186–213; Костин В. М. А. С. Пушкин и «Поэмы Оссиана» Д. Макферсона // Проблемы метода и жанра. Томск, 1983. Вып. 10. С. 101–104; Маркевич Н. А. Из воспоминаний // П. в восп. 1985. Т. 1. С. 157; Михайлова Н. И. Творчество Пушкина и ораторская проза 1812 года // ПИМ. Т. 12. С. 280–285; Пущин. С. 60; Томашевский. Пушкин, I. 1956. С. 55–63; Томашевский. Строфика П. С. 91–93; Уварова И. В. Влияние эстетики классицизма на лицейскую лирику Пушкина // Статьи о литературе. Краснодар, 1966. С. 3–19; Элиаш Н. М. К вопросу о влиянии Батюшкова на Пушкина // ПиС. Вып. 19–20. С. 1–2; Vickery W. N. «Воспоминания в Царском Селе» (1814) и «Памятник»: К вопросу о строфике // Slavic poetics Essays in honor of Kiril Taranovsky. Mouton — The Hague; Paris, 1973. P. 485–497.	АПСС. Т. 1. С. 69–73.		A92.txt	176	935
1	A92		Воспоминания в Царском Селе	Поздняя редакция стихотворения «Воспоминания в Царском Селе»	«Навис покров угрюмой нощи…»			1814	1825	Лицейская редакция — октябрем — декабрем 1814 г., по времени подготовки к экзамену 1815 г., поздняя редакция — серединой марта — апрелем 1825 г., по времени работы в тетради Всеволожского.	ПД 5 (беловой, поднесенный Пушкиным Державину); ПД 4 (копия рукой Ф. Ф. Матюшкина (?), с поправками Пушкина); фотокопия (местонахождение оригинала неизвестно) ПД, ф. 244, оп. 1. Прилож. № 1 (ст. 1–19 первой редакции; беловой, с поправками).	да	РМ. 1815. Ч. 2, № 4.	Аксаков С. Т. Собр. соч. В 4 т. М., 1955. Т. 2. С. 318; АПСС. Т. 1. С. 611–617 (примеч.); Благой, I. С. 98–109; Вацуро В. Э. Лицейское творчество Пушкина // АПСС. Т. 1. С. 432–435; Виноградов. Стиль П. С. 123–130; Гаевский. П. в Лицее. № 8. С. 368–370; Глинка Ф. Н. Воспоминания о пиитической жизни Пушкина (1837) // Глинка Ф. Н. Избр. произведения. Л., 1957. С. 425; Гуковский Г. А. Пушкин и русские романтики. М., 1965. С. 186–213; Костин В. М. А. С. Пушкин и «Поэмы Оссиана» Д. Макферсона // Проблемы метода и жанра. Томск, 1983. Вып. 10. С. 101–104; Маркевич Н. А. Из воспоминаний // П. в восп. 1985. Т. 1. С. 157; Михайлова Н. И. Творчество Пушкина и ораторская проза 1812 года // ПИМ. Т. 12. С. 280–285; Пущин. С. 60; Томашевский. Пушкин, I. 1956. С. 55–63; Томашевский. Строфика П. С. 91–93; Уварова И. В. Влияние эстетики классицизма на лицейскую лирику Пушкина // Статьи о литературе. Краснодар, 1966. С. 3–19; Элиаш Н. М. К вопросу о влиянии Батюшкова на Пушкина // ПиС. Вып. 19–20. С. 1–2; Vickery W. N. «Воспоминания в Царском Селе» (1814) и «Памятник»: К вопросу о строфике // Slavic poetics Essays in honor of Kiril Taranovsky. Mouton — The Hague; Paris, 1973. P. 485–497.	АПСС. Т. 1. С. 73–77.		A92_2.txt	160	852
1	A93		«Восстань, восстань, пророк России…»		«Восстань, восстань, пророк России…»			1826	1826	Предположительно 24 июля — 8 сентября 1826 г. на основании датировки «Пророка».	Неизвестен.	нет	Пятковский А. П. Пушкин в Кремлевском дворце // РС. 1880. Март.	Акад. в 10 т. (2). Т. 2. Примеч. С. 439; Березкина С. В. «Пророк» Пушкина: Современные проблемы изучения // РЛ. 1999. № 2. С. 35–40; Вацуро В. Э. «Пророк» // Аврора. 1980. № 8. С. 124; Лернер Н. О. [Пророк России] // Лернер. Рассказы о П. С. 94–107; Мор. 1903–06. Т. 2. С. 395–396; Немировский И. В. О «Пророке» и Пророке // РЛ. 2001. № 3. С. 4–10; Фомичев С. А. Служенье муз: О лирике Пушкина. СПб., 2001. С. 111–119; Цявловский М. А. Погодин о посмертных произведениях // Цявловский. Статьи. С. 405.	Акад. Т. 3, кн. 1. С. 461.	Четверостишие выведено из состава АПСС. Оно сохранилось в поздних и противоречащих друг другу мемуарных свидетельствах, не позволяющих установить ни аутентичный текст, ни самый смысл четверостишия.	A93.txt	4	18
1	A94		«Восстань, о Греция, восстань…»		«Восстань, о Греция, восстань…»			1829	1829	Предположительно сентябрем (не ранее 20-го) — октябрем 1829 г. по аналогии со стихотворением «Опять увенчаны мы славой…». В научной литературе встречается датировка стихотворения 1823–1824 гг., восходящая к Анненкову. Если Анненков не располагал другим автографом, дающим основание для такой датировки, он мог исходить из предположения, что стихотворение по теме и пафосу включается в контекст пушкинских интересов этого периода, связанных с греческим восстанием (см.: Селинов В. И. Пушкин и греческое восстание. С. 27).	ПД 160, л. 1 об. (черновой).	нет	Анн. Т. 7 (под загл. «План стихотворения в честь Греции»); вновь по рукописи с приведением вариантов: Шляпкин.	Аринштейн Л. М. Незавершенные стихотворения Пушкина: (Текстологические проблемы) // ПИМ. Т. 13. С. 282–289; Бурсов Б. И. Текстология и идеология // Новый мир. 1960. № 8. С. 118–122; Гофман М. Л. Из ненапечатанных и непрочитанных стихотворений Пушкина // ПиС. Вып. 36. С. 12–18; Лернер Н. О. 1) Заметки о Пушкине. 9 // РС. 1908. № 3. С. 661–662; 2) Стихи о Греции: (Текст и хронология) // Русский библиофил. 1911. № 5. С. 62–66; Селинов В. И. Пушкин и греческое восстание // Пушкин: Статьи и материалы. Одесса, 1926. Вып. 2. С. 27–28; Щеголев П. Е. Ненаписанные стихотворения А. С. Пушкина // ИВ. 1904. Янв. С. 270–271.	Акад. Т. 3, кн. 1. С. 169.		A94.txt	12	44
1	A95		«Вот Виля — он любовью дышит…»		«Вот Виля — он любовью дышит…»			1814	1816	Апрель 1814 г. (время составления сборника «Жертва Мому», куда эпиграмма не вошла) — 1816 г. (время составления «Лицейской антологии»).	ПД 419, л. 3 (беловой, с поправками).	нет	Гаевский. П. в Лицее. № 7.	АН 1899. С. 336 (коммент. Л. Н. Майкова); Венг. Т. 1. С. 378 (коммент. Н. О. Лернера).	АПСС. Т. 1. С. 292.		A95.txt	4	16
1	A96		«Вот Коцит, вот Ахерон…»		«Вот Коцит, вот Ахерон…»	<Наброски к замыслу о Фаусте>		1825	1826			нет			АПСС. Т. 3, кн. 1. С. 125.		A96.txt	16	54
